epoch,train_loss,train_top1_accuracy,train_top3_accuracy,train_top5_accuracy,val_loss,val_top1_accuracy,val_top3_accuracy,val_top5_accuracy,learning_rate
1,inf,0.1367725558864598,0.29668893943891494,0.4024413005048766,inf,0.16703644991393324,0.3201267831771385,0.4367670366484465,0.001
2,inf,0.17245884507615283,0.3434991974929683,0.4475717645368925,inf,0.20697305860874582,0.3610142629044559,0.4573692550938783,0.001
3,inf,0.21053417448906006,0.38844301758641436,0.4963231178332854,inf,0.17400950855101724,0.36513470664455094,0.45768621283363425,0.001
4,inf,0.22707081262028236,0.40878718869586184,0.5210720818012674,inf,0.20950871613437513,0.36481774964158775,0.4602218698964066,0.0005
5,inf,0.2659300459644296,0.4662734704665283,0.5745641867508123,inf,0.22884310617594258,0.3987321713552611,0.49572107796623666,0.0005
1,3.1665517251993234,0.14386501923710204,0.30471462162746293,0.41095225660107365,3.059959923597599,0.1816164817938525,0.3426307445660635,0.4475435816070357,0.001
2,2.952711207766367,0.20542013513342816,0.3836276084190209,0.4894172980802369,2.9610930453389646,0.22852614930994727,0.3812995246019681,0.47543581652376804,0.001
3,2.791687634228957,0.26044271907652783,0.44559334059806266,0.5534361117946737,2.897661664331016,0.25293185412411456,0.40063391457269004,0.49793977823385915,0.001
4,2.6093972750182486,0.3221844786171719,0.5298816679377426,0.6391429318048157,2.8864013374890845,0.2548335971809605,0.41965134742709614,0.5236133116360889,0.001
5,2.398810680006283,0.39695397360585005,0.6191347194788611,0.7229086566004304,2.898344152362902,0.26656101393246234,0.4361331227086425,0.5369255154333099,0.001
6,2.182899144859133,0.47306730375074896,0.6930083243277925,0.7866288403402255,2.9700153362921036,0.26941362924507795,0.4361331219718498,0.5280507123791472,0.001
7,2.013295699885348,0.528836462780638,0.7496360445650914,0.8308260854180811,2.9788809675044376,0.2795562599899274,0.4456418384557292,0.5385103005425865,0.001
8,1.8602549102299335,0.5818059650815443,0.7934226734764859,0.8671096344469216,3.031110856650182,0.2725832013528434,0.4440570522412634,0.5388272575455498,0.0005
9,1.661131353566795,0.6582552540978222,0.8463921758241165,0.9073500317427909,3.0510645116754644,0.28748019041992406,0.4484944535605314,0.5464342308120002,0.0005
1,3.1665517251993234,0.14386501923710204,0.30471462162746293,0.41095225660107365,3.059959923597599,0.1816164817938525,0.3426307445660635,0.4475435816070357,0.001
2,2.952711207766367,0.20542013513342816,0.3836276084190209,0.4894172980802369,2.9610930453389646,0.22852614930994727,0.3812995246019681,0.47543581652376804,0.001
3,2.791687634228957,0.26044271907652783,0.44559334059806266,0.5534361117946737,2.897661664331016,0.25293185412411456,0.40063391457269004,0.49793977823385915,0.001
4,2.6093972750182486,0.3221844786171719,0.5298816679377426,0.6391429318048157,2.8864013374890845,0.2548335971809605,0.41965134742709614,0.5236133116360889,0.001
